dataset,filename,path,width,height,status
TBX11K,s2629.png,data/raw/TBX11K/imgs/sick/s2629.png,512,512,OK
TBX11K,s3537.png,data/raw/TBX11K/imgs/sick/s3537.png,512,512,OK
TBX11K,s1320.png,data/raw/TBX11K/imgs/sick/s1320.png,512,512,OK
TBX11K,s1446.png,data/raw/TBX11K/imgs/sick/s1446.png,512,512,OK
TBX11K,s0758.png,data/raw/TBX11K/imgs/sick/s0758.png,512,512,OK
TBX11K,s3251.png,data/raw/TBX11K/imgs/sick/s3251.png,512,512,OK
TBX11K,s1452.png,data/raw/TBX11K/imgs/sick/s1452.png,512,512,OK
TBX11K,s3523.png,data/raw/TBX11K/imgs/sick/s3523.png,512,512,OK
TBX11K,s0002.png,data/raw/TBX11K/imgs/sick/s0002.png,512,512,OK
TBX11K,s4264.png,data/raw/TBX11K/imgs/sick/s4264.png,512,512,OK
TBX11K,s2173.png,data/raw/TBX11K/imgs/sick/s2173.png,512,512,OK
TBX11K,s0764.png,data/raw/TBX11K/imgs/sick/s0764.png,512,512,OK
TBX11K,s0770.png,data/raw/TBX11K/imgs/sick/s0770.png,512,512,OK
TBX11K,s4516.png,data/raw/TBX11K/imgs/sick/s4516.png,512,512,OK
TBX11K,s2167.png,data/raw/TBX11K/imgs/sick/s2167.png,512,512,OK
TBX11K,s2601.png,data/raw/TBX11K/imgs/sick/s2601.png,512,512,OK
TBX11K,s4270.png,data/raw/TBX11K/imgs/sick/s4270.png,512,512,OK
TBX11K,s0016.png,data/raw/TBX11K/imgs/sick/s0016.png,512,512,OK
TBX11K,s2832.png,data/raw/TBX11K/imgs/sick/s2832.png,512,512,OK
TBX11K,s3292.png,data/raw/TBX11K/imgs/sick/s3292.png,512,512,OK
TBX11K,s1485.png,data/raw/TBX11K/imgs/sick/s1485.png,512,512,OK
TBX11K,s0943.png,data/raw/TBX11K/imgs/sick/s0943.png,512,512,OK
TBX11K,s1491.png,data/raw/TBX11K/imgs/sick/s1491.png,512,512,OK
TBX11K,s0957.png,data/raw/TBX11K/imgs/sick/s0957.png,512,512,OK
TBX11K,s2198.png,data/raw/TBX11K/imgs/sick/s2198.png,512,512,OK
TBX11K,s3286.png,data/raw/TBX11K/imgs/sick/s3286.png,512,512,OK
TBX11K,s2826.png,data/raw/TBX11K/imgs/sick/s2826.png,512,512,OK
TBX11K,s3053.png,data/raw/TBX11K/imgs/sick/s3053.png,512,512,OK
TBX11K,s1122.png,data/raw/TBX11K/imgs/sick/s1122.png,512,512,OK
TBX11K,s3721.png,data/raw/TBX11K/imgs/sick/s3721.png,512,512,OK
TBX11K,s0228.png,data/raw/TBX11K/imgs/sick/s0228.png,512,512,OK
TBX11K,s1888.png,data/raw/TBX11K/imgs/sick/s1888.png,512,512,OK
TBX11K,s1650.png,data/raw/TBX11K/imgs/sick/s1650.png,512,512,OK
TBX11K,s2359.png,data/raw/TBX11K/imgs/sick/s2359.png,512,512,OK
TBX11K,s4728.png,data/raw/TBX11K/imgs/sick/s4728.png,512,512,OK
TBX11K,s3047.png,data/raw/TBX11K/imgs/sick/s3047.png,512,512,OK
TBX11K,s0566.png,data/raw/TBX11K/imgs/sick/s0566.png,512,512,OK
TBX11K,s1678.png,data/raw/TBX11K/imgs/sick/s1678.png,512,512,OK
TBX11K,s2371.png,data/raw/TBX11K/imgs/sick/s2371.png,512,512,OK
TBX11K,s4066.png,data/raw/TBX11K/imgs/sick/s4066.png,512,512,OK
TBX11K,s2417.png,data/raw/TBX11K/imgs/sick/s2417.png,512,512,OK
TBX11K,s0200.png,data/raw/TBX11K/imgs/sick/s0200.png,512,512,OK
TBX11K,s0214.png,data/raw/TBX11K/imgs/sick/s0214.png,512,512,OK
TBX11K,s4072.png,data/raw/TBX11K/imgs/sick/s4072.png,512,512,OK
TBX11K,s2403.png,data/raw/TBX11K/imgs/sick/s2403.png,512,512,OK
TBX11K,s4714.png,data/raw/TBX11K/imgs/sick/s4714.png,512,512,OK
TBX11K,s0572.png,data/raw/TBX11K/imgs/sick/s0572.png,512,512,OK
TBX11K,s1687.png,data/raw/TBX11K/imgs/sick/s1687.png,512,512,OK
TBX11K,s0599.png,data/raw/TBX11K/imgs/sick/s0599.png,512,512,OK
TBX11K,s3090.png,data/raw/TBX11K/imgs/sick/s3090.png,512,512,OK
TBX11K,s4927.png,data/raw/TBX11K/imgs/sick/s4927.png,512,512,OK
TBX11K,s4099.png,data/raw/TBX11K/imgs/sick/s4099.png,512,512,OK
TBX11K,s4933.png,data/raw/TBX11K/imgs/sick/s4933.png,512,512,OK
TBX11K,s1693.png,data/raw/TBX11K/imgs/sick/s1693.png,512,512,OK
TBX11K,s1863.png,data/raw/TBX11K/imgs/sick/s1863.png,512,512,OK
TBX11K,s3912.png,data/raw/TBX11K/imgs/sick/s3912.png,512,512,OK
TBX11K,s1877.png,data/raw/TBX11K/imgs/sick/s1877.png,512,512,OK
TBX11K,s3127.png,data/raw/TBX11K/imgs/sick/s3127.png,512,512,OK
TBX11K,s4648.png,data/raw/TBX11K/imgs/sick/s4648.png,512,512,OK
TBX11K,s2239.png,data/raw/TBX11K/imgs/sick/s2239.png,512,512,OK
TBX11K,s4890.png,data/raw/TBX11K/imgs/sick/s4890.png,512,512,OK
TBX11K,s1730.png,data/raw/TBX11K/imgs/sick/s1730.png,512,512,OK
TBX11K,s1056.png,data/raw/TBX11K/imgs/sick/s1056.png,512,512,OK
TBX11K,s3899.png,data/raw/TBX11K/imgs/sick/s3899.png,512,512,OK
TBX11K,s3641.png,data/raw/TBX11K/imgs/sick/s3641.png,512,512,OK
TBX11K,s3655.png,data/raw/TBX11K/imgs/sick/s3655.png,512,512,OK
TBX11K,s1042.png,data/raw/TBX11K/imgs/sick/s1042.png,512,512,OK
TBX11K,s1724.png,data/raw/TBX11K/imgs/sick/s1724.png,512,512,OK
TBX11K,s3133.png,data/raw/TBX11K/imgs/sick/s3133.png,512,512,OK
TBX11K,s4884.png,data/raw/TBX11K/imgs/sick/s4884.png,512,512,OK
TBX11K,s0412.png,data/raw/TBX11K/imgs/sick/s0412.png,512,512,OK
TBX11K,s2205.png,data/raw/TBX11K/imgs/sick/s2205.png,512,512,OK
TBX11K,s2563.png,data/raw/TBX11K/imgs/sick/s2563.png,512,512,OK
TBX11K,s4112.png,data/raw/TBX11K/imgs/sick/s4112.png,512,512,OK
TBX11K,s0360.png,data/raw/TBX11K/imgs/sick/s0360.png,512,512,OK
TBX11K,s2577.png,data/raw/TBX11K/imgs/sick/s2577.png,512,512,OK
TBX11K,s4106.png,data/raw/TBX11K/imgs/sick/s4106.png,512,512,OK
TBX11K,s3669.png,data/raw/TBX11K/imgs/sick/s3669.png,512,512,OK
TBX11K,s4660.png,data/raw/TBX11K/imgs/sick/s4660.png,512,512,OK
TBX11K,s2211.png,data/raw/TBX11K/imgs/sick/s2211.png,512,512,OK
TBX11K,s0406.png,data/raw/TBX11K/imgs/sick/s0406.png,512,512,OK
TBX11K,s4853.png,data/raw/TBX11K/imgs/sick/s4853.png,512,512,OK
TBX11K,s3682.png,data/raw/TBX11K/imgs/sick/s3682.png,512,512,OK
TBX11K,s1095.png,data/raw/TBX11K/imgs/sick/s1095.png,512,512,OK
TBX11K,s2588.png,data/raw/TBX11K/imgs/sick/s2588.png,512,512,OK
TBX11K,s4847.png,data/raw/TBX11K/imgs/sick/s4847.png,512,512,OK
TBX11K,s1917.png,data/raw/TBX11K/imgs/sick/s1917.png,512,512,OK
TBX11K,s3872.png,data/raw/TBX11K/imgs/sick/s3872.png,512,512,OK
TBX11K,s1903.png,data/raw/TBX11K/imgs/sick/s1903.png,512,512,OK
TBX11K,s3443.png,data/raw/TBX11K/imgs/sick/s3443.png,512,512,OK
TBX11K,s1254.png,data/raw/TBX11K/imgs/sick/s1254.png,512,512,OK
TBX11K,s1532.png,data/raw/TBX11K/imgs/sick/s1532.png,512,512,OK
TBX11K,s3325.png,data/raw/TBX11K/imgs/sick/s3325.png,512,512,OK
TBX11K,s3331.png,data/raw/TBX11K/imgs/sick/s3331.png,512,512,OK
TBX11K,s1526.png,data/raw/TBX11K/imgs/sick/s1526.png,512,512,OK
TBX11K,s4338.png,data/raw/TBX11K/imgs/sick/s4338.png,512,512,OK
TBX11K,s2991.png,data/raw/TBX11K/imgs/sick/s2991.png,512,512,OK
TBX11K,s2749.png,data/raw/TBX11K/imgs/sick/s2749.png,512,512,OK
TBX11K,s1268.png,data/raw/TBX11K/imgs/sick/s1268.png,512,512,OK
TBX11K,s2761.png,data/raw/TBX11K/imgs/sick/s2761.png,512,512,OK
TBX11K,s2007.png,data/raw/TBX11K/imgs/sick/s2007.png,512,512,OK
TBX11K,s4476.png,data/raw/TBX11K/imgs/sick/s4476.png,512,512,OK
TBX11K,s3319.png,data/raw/TBX11K/imgs/sick/s3319.png,512,512,OK
TBX11K,s0604.png,data/raw/TBX11K/imgs/sick/s0604.png,512,512,OK
TBX11K,s2013.png,data/raw/TBX11K/imgs/sick/s2013.png,512,512,OK
TBX11K,s4462.png,data/raw/TBX11K/imgs/sick/s4462.png,512,512,OK
TBX11K,s2775.png,data/raw/TBX11K/imgs/sick/s2775.png,512,512,OK
TBX11K,s0162.png,data/raw/TBX11K/imgs/sick/s0162.png,512,512,OK
TBX11K,s0189.png,data/raw/TBX11K/imgs/sick/s0189.png,512,512,OK
TBX11K,s1297.png,data/raw/TBX11K/imgs/sick/s1297.png,512,512,OK
TBX11K,s3480.png,data/raw/TBX11K/imgs/sick/s3480.png,512,512,OK
TBX11K,s2946.png,data/raw/TBX11K/imgs/sick/s2946.png,512,512,OK
TBX11K,s4489.png,data/raw/TBX11K/imgs/sick/s4489.png,512,512,OK
TBX11K,s0837.png,data/raw/TBX11K/imgs/sick/s0837.png,512,512,OK
TBX11K,s3494.png,data/raw/TBX11K/imgs/sick/s3494.png,512,512,OK
TBX11K,s2952.png,data/raw/TBX11K/imgs/sick/s2952.png,512,512,OK
TBX11K,s1283.png,data/raw/TBX11K/imgs/sick/s1283.png,512,512,OK
TBX11K,s0822.png,data/raw/TBX11K/imgs/sick/s0822.png,512,512,OK
TBX11K,s1282.png,data/raw/TBX11K/imgs/sick/s1282.png,512,512,OK
TBX11K,s2953.png,data/raw/TBX11K/imgs/sick/s2953.png,512,512,OK
TBX11K,s3495.png,data/raw/TBX11K/imgs/sick/s3495.png,512,512,OK
TBX11K,s2947.png,data/raw/TBX11K/imgs/sick/s2947.png,512,512,OK
TBX11K,s3481.png,data/raw/TBX11K/imgs/sick/s3481.png,512,512,OK
TBX11K,s1296.png,data/raw/TBX11K/imgs/sick/s1296.png,512,512,OK
TBX11K,s0836.png,data/raw/TBX11K/imgs/sick/s0836.png,512,512,OK
TBX11K,s4488.png,data/raw/TBX11K/imgs/sick/s4488.png,512,512,OK
TBX11K,s4463.png,data/raw/TBX11K/imgs/sick/s4463.png,512,512,OK
TBX11K,s2012.png,data/raw/TBX11K/imgs/sick/s2012.png,512,512,OK
TBX11K,s0605.png,data/raw/TBX11K/imgs/sick/s0605.png,512,512,OK
TBX11K,s0163.png,data/raw/TBX11K/imgs/sick/s0163.png,512,512,OK
TBX11K,s2774.png,data/raw/TBX11K/imgs/sick/s2774.png,512,512,OK
TBX11K,s2760.png,data/raw/TBX11K/imgs/sick/s2760.png,512,512,OK
TBX11K,s4311.png,data/raw/TBX11K/imgs/sick/s4311.png,512,512,OK
TBX11K,s0177.png,data/raw/TBX11K/imgs/sick/s0177.png,512,512,OK
TBX11K,s0611.png,data/raw/TBX11K/imgs/sick/s0611.png,512,512,OK
TBX11K,s3318.png,data/raw/TBX11K/imgs/sick/s3318.png,512,512,OK
TBX11K,s2006.png,data/raw/TBX11K/imgs/sick/s2006.png,512,512,OK
TBX11K,s1527.png,data/raw/TBX11K/imgs/sick/s1527.png,512,512,OK
TBX11K,s0639.png,data/raw/TBX11K/imgs/sick/s0639.png,512,512,OK
TBX11K,s3330.png,data/raw/TBX11K/imgs/sick/s3330.png,512,512,OK
TBX11K,s3456.png,data/raw/TBX11K/imgs/sick/s3456.png,512,512,OK
TBX11K,s1241.png,data/raw/TBX11K/imgs/sick/s1241.png,512,512,OK
TBX11K,s1255.png,data/raw/TBX11K/imgs/sick/s1255.png,512,512,OK
TBX11K,s3442.png,data/raw/TBX11K/imgs/sick/s3442.png,512,512,OK
TBX11K,s3324.png,data/raw/TBX11K/imgs/sick/s3324.png,512,512,OK
TBX11K,s1533.png,data/raw/TBX11K/imgs/sick/s1533.png,512,512,OK
TBX11K,s3873.png,data/raw/TBX11K/imgs/sick/s3873.png,512,512,OK
TBX11K,s1916.png,data/raw/TBX11K/imgs/sick/s1916.png,512,512,OK
TBX11K,s3867.png,data/raw/TBX11K/imgs/sick/s3867.png,512,512,OK
TBX11K,s2589.png,data/raw/TBX11K/imgs/sick/s2589.png,512,512,OK
TBX11K,s1080.png,data/raw/TBX11K/imgs/sick/s1080.png,512,512,OK
TBX11K,s4852.png,data/raw/TBX11K/imgs/sick/s4852.png,512,512,OK
TBX11K,s3683.png,data/raw/TBX11K/imgs/sick/s3683.png,512,512,OK
TBX11K,s3668.png,data/raw/TBX11K/imgs/sick/s3668.png,512,512,OK
TBX11K,s2576.png,data/raw/TBX11K/imgs/sick/s2576.png,512,512,OK
TBX11K,s0361.png,data/raw/TBX11K/imgs/sick/s0361.png,512,512,OK
TBX11K,s0407.png,data/raw/TBX11K/imgs/sick/s0407.png,512,512,OK
TBX11K,s1719.png,data/raw/TBX11K/imgs/sick/s1719.png,512,512,OK
TBX11K,s2210.png,data/raw/TBX11K/imgs/sick/s2210.png,512,512,OK
TBX11K,s4661.png,data/raw/TBX11K/imgs/sick/s4661.png,512,512,OK
TBX11K,s2204.png,data/raw/TBX11K/imgs/sick/s2204.png,512,512,OK
TBX11K,s4675.png,data/raw/TBX11K/imgs/sick/s4675.png,512,512,OK
TBX11K,s0413.png,data/raw/TBX11K/imgs/sick/s0413.png,512,512,OK
TBX11K,s0375.png,data/raw/TBX11K/imgs/sick/s0375.png,512,512,OK
TBX11K,s4113.png,data/raw/TBX11K/imgs/sick/s4113.png,512,512,OK
TBX11K,s2562.png,data/raw/TBX11K/imgs/sick/s2562.png,512,512,OK
TBX11K,s1043.png,data/raw/TBX11K/imgs/sick/s1043.png,512,512,OK
TBX11K,s4885.png,data/raw/TBX11K/imgs/sick/s4885.png,512,512,OK
TBX11K,s1725.png,data/raw/TBX11K/imgs/sick/s1725.png,512,512,OK
TBX11K,s1731.png,data/raw/TBX11K/imgs/sick/s1731.png,512,512,OK
TBX11K,s2238.png,data/raw/TBX11K/imgs/sick/s2238.png,512,512,OK
TBX11K,s4649.png,data/raw/TBX11K/imgs/sick/s4649.png,512,512,OK
TBX11K,s3126.png,data/raw/TBX11K/imgs/sick/s3126.png,512,512,OK
TBX11K,s3898.png,data/raw/TBX11K/imgs/sick/s3898.png,512,512,OK
TBX11K,s1057.png,data/raw/TBX11K/imgs/sick/s1057.png,512,512,OK
TBX11K,s1862.png,data/raw/TBX11K/imgs/sick/s1862.png,512,512,OK
TBX11K,s3913.png,data/raw/TBX11K/imgs/sick/s3913.png,512,512,OK
TBX11K,s1692.png,data/raw/TBX11K/imgs/sick/s1692.png,512,512,OK
TBX11K,s4932.png,data/raw/TBX11K/imgs/sick/s4932.png,512,512,OK
TBX11K,s3085.png,data/raw/TBX11K/imgs/sick/s3085.png,512,512,OK
TBX11K,s4926.png,data/raw/TBX11K/imgs/sick/s4926.png,512,512,OK
TBX11K,s0598.png,data/raw/TBX11K/imgs/sick/s0598.png,512,512,OK
TBX11K,s2402.png,data/raw/TBX11K/imgs/sick/s2402.png,512,512,OK
TBX11K,s4073.png,data/raw/TBX11K/imgs/sick/s4073.png,512,512,OK
TBX11K,s0215.png,data/raw/TBX11K/imgs/sick/s0215.png,512,512,OK
TBX11K,s0573.png,data/raw/TBX11K/imgs/sick/s0573.png,512,512,OK
TBX11K,s4715.png,data/raw/TBX11K/imgs/sick/s4715.png,512,512,OK
TBX11K,s2364.png,data/raw/TBX11K/imgs/sick/s2364.png,512,512,OK
TBX11K,s4701.png,data/raw/TBX11K/imgs/sick/s4701.png,512,512,OK
TBX11K,s2370.png,data/raw/TBX11K/imgs/sick/s2370.png,512,512,OK
TBX11K,s1679.png,data/raw/TBX11K/imgs/sick/s1679.png,512,512,OK
TBX11K,s0567.png,data/raw/TBX11K/imgs/sick/s0567.png,512,512,OK
TBX11K,s0201.png,data/raw/TBX11K/imgs/sick/s0201.png,512,512,OK
TBX11K,s2416.png,data/raw/TBX11K/imgs/sick/s2416.png,512,512,OK
TBX11K,s4067.png,data/raw/TBX11K/imgs/sick/s4067.png,512,512,OK
TBX11K,s3046.png,data/raw/TBX11K/imgs/sick/s3046.png,512,512,OK
TBX11K,s4729.png,data/raw/TBX11K/imgs/sick/s4729.png,512,512,OK
TBX11K,s2358.png,data/raw/TBX11K/imgs/sick/s2358.png,512,512,OK
TBX11K,s1645.png,data/raw/TBX11K/imgs/sick/s1645.png,512,512,OK
TBX11K,s3052.png,data/raw/TBX11K/imgs/sick/s3052.png,512,512,OK
TBX11K,s3734.png,data/raw/TBX11K/imgs/sick/s3734.png,512,512,OK
TBX11K,s3287.png,data/raw/TBX11K/imgs/sick/s3287.png,512,512,OK
TBX11K,s1490.png,data/raw/TBX11K/imgs/sick/s1490.png,512,512,OK
TBX11K,s2827.png,data/raw/TBX11K/imgs/sick/s2827.png,512,512,OK
TBX11K,s2833.png,data/raw/TBX11K/imgs/sick/s2833.png,512,512,OK
TBX11K,s0942.png,data/raw/TBX11K/imgs/sick/s0942.png,512,512,OK
TBX11K,s1484.png,data/raw/TBX11K/imgs/sick/s1484.png,512,512,OK
TBX11K,s3293.png,data/raw/TBX11K/imgs/sick/s3293.png,512,512,OK
TBX11K,s2166.png,data/raw/TBX11K/imgs/sick/s2166.png,512,512,OK
TBX11K,s3278.png,data/raw/TBX11K/imgs/sick/s3278.png,512,512,OK
TBX11K,s0771.png,data/raw/TBX11K/imgs/sick/s0771.png,512,512,OK
TBX11K,s1309.png,data/raw/TBX11K/imgs/sick/s1309.png,512,512,OK
TBX11K,s0017.png,data/raw/TBX11K/imgs/sick/s0017.png,512,512,OK
TBX11K,s4271.png,data/raw/TBX11K/imgs/sick/s4271.png,512,512,OK
TBX11K,s2600.png,data/raw/TBX11K/imgs/sick/s2600.png,512,512,OK
TBX11K,s4265.png,data/raw/TBX11K/imgs/sick/s4265.png,512,512,OK
TBX11K,s0003.png,data/raw/TBX11K/imgs/sick/s0003.png,512,512,OK
TBX11K,s0765.png,data/raw/TBX11K/imgs/sick/s0765.png,512,512,OK
TBX11K,s4503.png,data/raw/TBX11K/imgs/sick/s4503.png,512,512,OK
TBX11K,s0995.png,data/raw/TBX11K/imgs/sick/s0995.png,512,512,OK
TBX11K,s1453.png,data/raw/TBX11K/imgs/sick/s1453.png,512,512,OK
TBX11K,s3244.png,data/raw/TBX11K/imgs/sick/s3244.png,512,512,OK
TBX11K,s3522.png,data/raw/TBX11K/imgs/sick/s3522.png,512,512,OK
TBX11K,s1335.png,data/raw/TBX11K/imgs/sick/s1335.png,512,512,OK
TBX11K,s3536.png,data/raw/TBX11K/imgs/sick/s3536.png,512,512,OK
TBX11K,s4259.png,data/raw/TBX11K/imgs/sick/s4259.png,512,512,OK
TBX11K,s2628.png,data/raw/TBX11K/imgs/sick/s2628.png,512,512,OK
TBX11K,s3250.png,data/raw/TBX11K/imgs/sick/s3250.png,512,512,OK
TBX11K,s0759.png,data/raw/TBX11K/imgs/sick/s0759.png,512,512,OK
TBX11K,s0981.png,data/raw/TBX11K/imgs/sick/s0981.png,512,512,OK
TBX11K,s1447.png,data/raw/TBX11K/imgs/sick/s1447.png,512,512,OK
TBX11K,s0029.png,data/raw/TBX11K/imgs/sick/s0029.png,512,512,OK
TBX11K,s1337.png,data/raw/TBX11K/imgs/sick/s1337.png,512,512,OK
TBX11K,s3520.png,data/raw/TBX11K/imgs/sick/s3520.png,512,512,OK
TBX11K,s3246.png,data/raw/TBX11K/imgs/sick/s3246.png,512,512,OK
TBX11K,s4529.png,data/raw/TBX11K/imgs/sick/s4529.png,512,512,OK
TBX11K,s2158.png,data/raw/TBX11K/imgs/sick/s2158.png,512,512,OK
TBX11K,s1451.png,data/raw/TBX11K/imgs/sick/s1451.png,512,512,OK
TBX11K,s1445.png,data/raw/TBX11K/imgs/sick/s1445.png,512,512,OK
TBX11K,s0983.png,data/raw/TBX11K/imgs/sick/s0983.png,512,512,OK
TBX11K,s3252.png,data/raw/TBX11K/imgs/sick/s3252.png,512,512,OK
TBX11K,s3534.png,data/raw/TBX11K/imgs/sick/s3534.png,512,512,OK
TBX11K,s1323.png,data/raw/TBX11K/imgs/sick/s1323.png,512,512,OK
TBX11K,s2602.png,data/raw/TBX11K/imgs/sick/s2602.png,512,512,OK
TBX11K,s4273.png,data/raw/TBX11K/imgs/sick/s4273.png,512,512,OK
TBX11K,s0015.png,data/raw/TBX11K/imgs/sick/s0015.png,512,512,OK
TBX11K,s0773.png,data/raw/TBX11K/imgs/sick/s0773.png,512,512,OK
TBX11K,s4515.png,data/raw/TBX11K/imgs/sick/s4515.png,512,512,OK
TBX11K,s2164.png,data/raw/TBX11K/imgs/sick/s2164.png,512,512,OK
TBX11K,s2170.png,data/raw/TBX11K/imgs/sick/s2170.png,512,512,OK
TBX11K,s0767.png,data/raw/TBX11K/imgs/sick/s0767.png,512,512,OK
TBX11K,s0001.png,data/raw/TBX11K/imgs/sick/s0001.png,512,512,OK
TBX11K,s2616.png,data/raw/TBX11K/imgs/sick/s2616.png,512,512,OK
TBX11K,s4267.png,data/raw/TBX11K/imgs/sick/s4267.png,512,512,OK
TBX11K,s3508.png,data/raw/TBX11K/imgs/sick/s3508.png,512,512,OK
TBX11K,s2825.png,data/raw/TBX11K/imgs/sick/s2825.png,512,512,OK
TBX11K,s1492.png,data/raw/TBX11K/imgs/sick/s1492.png,512,512,OK
TBX11K,s3285.png,data/raw/TBX11K/imgs/sick/s3285.png,512,512,OK
TBX11K,s3291.png,data/raw/TBX11K/imgs/sick/s3291.png,512,512,OK
TBX11K,s0798.png,data/raw/TBX11K/imgs/sick/s0798.png,512,512,OK
TBX11K,s1486.png,data/raw/TBX11K/imgs/sick/s1486.png,512,512,OK
TBX11K,s0940.png,data/raw/TBX11K/imgs/sick/s0940.png,512,512,OK
TBX11K,s2831.png,data/raw/TBX11K/imgs/sick/s2831.png,512,512,OK
TBX11K,s2819.png,data/raw/TBX11K/imgs/sick/s2819.png,512,512,OK
TBX11K,s0968.png,data/raw/TBX11K/imgs/sick/s0968.png,512,512,OK
TBX11K,s1653.png,data/raw/TBX11K/imgs/sick/s1653.png,512,512,OK
TBX11K,s1135.png,data/raw/TBX11K/imgs/sick/s1135.png,512,512,OK
TBX11K,s1121.png,data/raw/TBX11K/imgs/sick/s1121.png,512,512,OK
TBX11K,s3736.png,data/raw/TBX11K/imgs/sick/s3736.png,512,512,OK
TBX11K,s2428.png,data/raw/TBX11K/imgs/sick/s2428.png,512,512,OK
TBX11K,s3050.png,data/raw/TBX11K/imgs/sick/s3050.png,512,512,OK
TBX11K,s0559.png,data/raw/TBX11K/imgs/sick/s0559.png,512,512,OK
TBX11K,s1647.png,data/raw/TBX11K/imgs/sick/s1647.png,512,512,OK
TBX11K,s3078.png,data/raw/TBX11K/imgs/sick/s3078.png,512,512,OK
TBX11K,s1109.png,data/raw/TBX11K/imgs/sick/s1109.png,512,512,OK
TBX11K,s0217.png,data/raw/TBX11K/imgs/sick/s0217.png,512,512,OK
TBX11K,s4071.png,data/raw/TBX11K/imgs/sick/s4071.png,512,512,OK
TBX11K,s2400.png,data/raw/TBX11K/imgs/sick/s2400.png,512,512,OK
